ID,Brand,Name,Price,Car_Type,Car_Category,Seats,Boot_Capacity,Boot_Category,Fuel_Capacity,Fuel_Category,Engine_Type,Total_Displacement_CC,Image,Info,Road_tax
53,Proton,X90 TGDI BSG Flagship,152800,SUV,3,6,257,1,60,3,"3 Cylinders In-Line, 12 Valve DOHC, TGDi with 48V Electric Motor Synergy System",1477,images/CarSpec/X90/X90.png,https://www.proton.com/en/models/protonx90,90
54,Honda,City S,84900,Sedan,2,5,506,3,40,2,"4 Cylinder, 16 Valve, DOHC i?VTEC",1498,images/CarSpec/City/City.png,https://www.honda.com.my/model/city,90
55,Honda,City E,89900,Sedan,2,5,506,3,40,2,"4 Cylinder, 16 Valve, DOHC i?VTEC",1498,images/CarSpec/City/City.png,https://www.honda.com.my/model/city,90
56,Honda,City V,94900,Sedan,2,5,506,3,40,2,"4 Cylinder, 16 Valve, DOHC i?VTEC",1498,images/CarSpec/City/City.png,https://www.honda.com.my/model/city,90
57,Honda,City RS,99900,Sedan,2,5,506,3,40,2,"4 Cylinder, 16 Valve, DOHC i?VTEC",1498,images/CarSpec/City/City.png,https://www.honda.com.my/model/city,90
58,Honda,City e:HEV RS,111900,Sedan,2,5,506,3,40,2,"4 Cylinder, 16 Valve, DOHC i?VTEC (Atkinson Cycle)",1498,images/CarSpec/City/City.png,https://www.honda.com.my/model/city,90
59,Honda,City Hatchback S,85900,Hatchback,1,5,289,1,40,2,"4 Cylinder, 16 Valve, DOHC i?VTEC",1498,images/CarSpec/City-Hatchback/City-Hatchback.png,https://www.honda.com.my/model/city-hatchback,90
60,Honda,City Hatchback E,90900,Hatchback,1,5,289,1,40,2,"4 Cylinder, 16 Valve, DOHC i?VTEC",1498,images/CarSpec/City-Hatchback/City-Hatchback.png,https://www.honda.com.my/model/city-hatchback,90
61,Honda,City Hatchback V,95900,Hatchback,1,5,289,1,40,2,"4 Cylinder, 16 Valve, DOHC i?VTEC",1498,images/CarSpec/City-Hatchback/City-Hatchback.png,https://www.honda.com.my/model/city-hatchback,90
62,Honda,City Hatchback RS,100900,Hatchback,1,5,289,1,40,2,"4 Cylinder, 16 Valve, DOHC i?VTEC",1498,images/CarSpec/City-Hatchback/City-Hatchback.png,https://www.honda.com.my/model/city-hatchback,90
63,Honda,City Hatchback e:HEV RS,112900,Hatchback,1,5,289,1,40,2,"4 Cylinder, 16 Valve, DOHC i?VTEC (Atkinson Cycle)",1498,images/CarSpec/City-Hatchback/City-Hatchback.png,https://www.honda.com.my/model/city-hatchback,90
64,Honda,Civic E,131900,Sedan,2,5,497,2,47,2,"4 Cylinder, 16 Valve, DOHC VTEC TURBO",1498,images/CarSpec/Civic/Civic.png,https://www.honda.com.my/model/civic,90
65,Honda,Civic V,144900,Sedan,2,5,497,2,47,2,"4 Cylinder, 16 Valve, DOHC VTEC TURBO",1498,images/CarSpec/Civic/Civic.png,https://www.honda.com.my/model/civic,90
66,Honda,Civic RS,151900,Sedan,2,5,497,2,47,2,"4 Cylinder, 16 Valve, DOHC VTEC TURBO",1498,images/CarSpec/Civic/Civic.png,https://www.honda.com.my/model/civic,90
67,Honda,Civic e:HEV RS,167900,Sedan,2,5,497,2,47,2,"4 Cylinder, 16 Valve, DOHC (Atkinson Cycle)",1993,images/CarSpec/Civic/Civic.png,https://www.honda.com.my/model/civic,376.5
68,Honda,CR-V S,159900,SUV,3,5,635,3,57,3,"4 Cylinder, 16 Valve, DOHC VTEC TURBO",1498,images/CarSpec/CRV/CRV.png,https://www.honda.com.my/model/crv,90
69,Honda,CR-V E,169900,SUV,3,5,635,3,57,3,"4 Cylinder, 16 Valve, DOHC VTEC TURBO",1498,images/CarSpec/CRV/CRV.png,https://www.honda.com.my/model/crv,90
70,Honda,CR-V V,181900,SUV,3,5,635,3,57,3,"4 Cylinder, 16 Valve, DOHC VTEC TURBO",1498,images/CarSpec/CRV/CRV.png,https://www.honda.com.my/model/crv,90
71,Honda,CR-V e:HEV RS,195900,SUV,3,5,635,3,57,3,"4 Cylinder, 16 Valve, DOHC i?VTEC (Atkinson Cycle)",1993,images/CarSpec/CRV/CRV.png,https://www.honda.com.my/model/crv,376.5
72,Honda,HR-V S,115900,SUV,3,5,335,2,50,3,"4 Cylinder, 16 Valve, DOHC i?VTEC",1498,images/CarSpec/HRV/HRV.png,https://www.honda.com.my/model/hrv,90
73,Honda,HR-V T E,130900,SUV,3,5,335,2,50,3,"4 Cylinder, 16 Valve, DOHC VTEC TURBO",1498,images/CarSpec/HRV/HRV.png,https://www.honda.com.my/model/hrv,90
74,Honda,HR-V T V,135900,SUV,3,5,335,2,50,3,"4 Cylinder, 16 Valve, DOHC VTEC TURBO",1498,images/CarSpec/HRV/HRV.png,https://www.honda.com.my/model/hrv,90
75,Honda,HR-V e:HEV RS,141900,SUV,3,5,335,2,50,3,"4 Cylinder, 16 Valve, DOHC i?VTEC (Atkinson Cycle)",1498,images/CarSpec/HRV/HRV.png,https://www.honda.com.my/model/hrv,90
76,Honda,WR-V S,89900,SUV,3,5,380,2,40,2,"4 Cylinder, 16 Valve, DOHC i?VTEC",1498,images/CarSpec/WRV/WRV.png,https://www.honda.com.my/model/wr-v,90
77,Honda,WR-V E,95900,SUV,3,5,380,2,40,2,"4 Cylinder, 16 Valve, DOHC i?VTEC",1498,images/CarSpec/WRV/WRV.png,https://www.honda.com.my/model/wr-v,90
78,Honda,WR-V V,99900,SUV,3,5,380,2,40,2,"4 Cylinder, 16 Valve, DOHC i?VTEC",1498,images/CarSpec/WRV/WRV.png,https://www.honda.com.my/model/wr-v,90
79,Honda,WR-V RS,107900,SUV,3,5,380,2,40,2,"4 Cylinder, 16 Valve, DOHC i?VTEC",1498,images/CarSpec/WRV/WRV.png,https://www.honda.com.my/model/wr-v,90
80,Honda,2023 Type R,399900,Sedan,2,5,410,2,50,3,"4 Cylinder, 16 Valve, DOHC VTEC TURBO",1996,images/CarSpec/Type-R/Type-R.png,https://www.honda.com.my/model/type-r,378
81,Toyota,Yaris E AT,88000,Hatchback,1,5,286,1,42,2,"4-cylinder, In-line, 16-valve, DOHC with Dual VVT-i",1496,images/CarSpec/Yaris/Yaris.png,https://www.toyota.com.my/en/models/yaris.html,90
82,Toyota,Yaris G AT,91600,Hatchback,1,5,286,1,42,2,"4-cylinder, In-line, 16-valve, DOHC with Dual VVT-i",1496,images/CarSpec/Yaris/Yaris-G.png,https://www.toyota.com.my/en/models/yaris.html,90
83,Toyota,Vios E AT,89600,Hatchback,1,5,475,2,40,2,"4-cylinder, In-line, 16-valve, DOHC with Dual VVT-i",1496,images/CarSpec/Vios/Vios-E.png,https://www.toyota.com.my/en/models/vios.html,90
84,Toyota,Vios G AT,95500,Hatchback,1,5,475,2,40,2,"4-cylinder, In-line, 16-valve, DOHC with Dual VVT-i",1496,images/CarSpec/Vios/Vios-G.png,https://www.toyota.com.my/en/models/vios.html,90
85,Toyota,Harrier Luxury SE,277000,SUV,3,5,396,2,55,3,"16-Valve DOHC, VVT-iE (Intake) & VVT-i (Exhaust)",1987,images/CarSpec/Harrier/Harrier-SE.png,https://www.toyota.com.my/en/models/harrier.html,373.5
86,Toyota,Harrier Luxury,274000,SUV,3,5,396,2,55,3,"16-Valve DOHC, VVT-iE (Intake) & VVT-i (Exhaust)",1987,images/CarSpec/Harrier/Harrier.png,https://www.toyota.com.my/en/models/harrier.html,373.5
87,Toyota,Fortuner VRZ AT 4WD,236880,SUV,3,7,200,1,80,3,"4-cylinder, In-line, 16V, DOHC Intercooler VNT Diesel",2755,images/CarSpec/Fortuner/Fortuner-VRZ.png,https://www.toyota.com.my/en/models/fortuner.html,1517.5
88,Toyota,Fortuner SRZ AT 4WD,197880,SUV,3,7,200,1,80,3,"4-cylinder, In-line, 16V, DOHC Dual VVT-i Petrol",2694,images/CarSpec/Fortuner/Fortuner-SRZ.png,https://www.toyota.com.my/en/models/fortuner.html,1365
89,Toyota,Fortuner AT 4WD,195880,SUV,3,7,200,1,80,3,"4-cylinder, In-line, 16V, DOHC Intercooler VNT Diesel",2393,images/CarSpec/Fortuner/Fortuner.png,https://www.toyota.com.my/en/models/fortuner.html,773
90,Toyota,Camry V AT,219800,Sedan,2,5,524,3,60,3,"4-cylinder, In-line, 16V, DOHC with VVT-iE (Intake) and VVT-i (Exhaust)",2487,images/CarSpec/Camry/Camry.png,https://www.toyota.com.my/en/models/camry.html,867
91,Toyota,Veloz AT,95000,MPV,4,7,498,2,43,2,"4-cylinder, In-line, 16-valve, DOHC with Dual VVT-i",1496,images/CarSpec/Veloz/Veloz.png,https://www.toyota.com.my/en/models/veloz.html,90
92,Toyota,Innova X AT,146880,MPV,4,7,300,2,55,3,"4-cylinder, In-line, 16-valve, DOHC with Dual VVT-i",1998,images/CarSpec/Innova/Innova-X.png,https://www.toyota.com.my/en/models/innova.html,379
93,Toyota,Innova G AT,138880,MPV,4,7,300,2,55,3,"4-cylinder, In-line, 16-valve, DOHC with Dual VVT-i",1998,images/CarSpec/Innova/Innova.png,https://www.toyota.com.my/en/models/innova.html,379
94,Toyota,Corolla E,139800,Sedan,2,5,333,2,50,3,"4-cylinder, In-line, 16-valve DOHC with Dual VVT-i",1798,images/CarSpec/Corolla/Corolla-E.png,https://www.toyota.com.my/en/models/corolla.html,279.2
95,Toyota,Corolla G,147800,Sedan,2,5,333,2,50,3,"4-cylinder, In-line, 16-valve DOHC with Dual VVT-i",1798,images/CarSpec/Corolla/Corolla-G.png,https://www.toyota.com.my/en/models/corolla.html,279.2
96,Toyota,Corolla Cross G AT,130900,SUV,3,5,433,2,47,2,"4-cylinder, In-line, 16-valve DOHC with Dual VVT-i",1798,images/CarSpec/Corolla-Cross/Corolla-Cross-G.png,https://www.toyota.com.my/en/models/corolla-cross.html,279.2
97,Toyota,Corolla Cross V AT,137900,SUV,3,5,433,2,47,2,"4-cylinder, In-line, 16-valve DOHC with Dual VVT-i",1798,images/CarSpec/Corolla-Cross/Corolla-Cross-V.png,https://www.toyota.com.my/en/models/corolla-cross.html,279.2
98,Toyota,Corolla Cross Hybrid Electric,143000,SUV,3,5,433,2,36,1,"4-cylinder, In-line, 16-Valve DOHC with VVT-i",1798,images/CarSpec/Corolla-Cross/Corolla-Cross-Hybrid.png,https://www.toyota.com.my/en/models/corolla-cross.html,279.2
